종목코드,종목명,시장구분,종가,거래량,등락률
098070,한텍,KOSDAQ,31450,11258089,24.55
016670,디모아,KOSDAQ,5740,522818,22.39
308100,형지글로벌,KOSDAQ,10370,10823525,21.29
479960,위너스,KOSDAQ,18440,4931719,13.48
444530,심플랫폼,KOSDAQ,12970,6111711,12.98
065500,오리엔트정공,KOSDAQ,15890,49800682,11.51
475460,미트박스,KOSDAQ,11230,1796000,11.3
101970,우양에이치씨,KOSDAQ,19240,439962,10.89
456010,아이씨티케이,KOSDAQ,13050,7800095,10.78
005610,SPC삼립,KOSPI,67500,269669,9.93
480370,씨케이솔루션,KOSPI,14950,2564158,9.52
445680,큐리옥스바이오시스템즈,KOSDAQ,17940,510423,8.07
382150,온코크로스,KOSDAQ,11170,6277382,8.03
013890,지누스,KOSPI,21600,220260,7.73
251970,펌텍코리아,KOSDAQ,54000,206994,6.51
053290,NE능률,KOSDAQ,5140,6023556,6.42
100840,SNT에너지,KOSPI,33300,252406,6.22
293480,하나제약,KOSPI,10980,204658,6.09
257720,실리콘투,KOSDAQ,28500,2809513,5.95
236200,슈프리마,KOSDAQ,29150,255555,5.62
006840,AK홀딩스,KOSPI,10620,136896,5.25
443060,HD현대마린솔루션,KOSPI,147900,122966,5.19
072130,유엔젤,KOSPI,5540,227248,5.12
462860,더즌,KOSDAQ,7710,2338689,5.04
